statement	isMetaphor
' Puesto que Dios, el Destino y la Naturaleza han decidido la suerte de esos marinos, ¿no será una blasfemia llevar adelante la operación de rescate? ', manifestó.	0
Y si la sentencia del juez no es suficiente para convertir la de los rayos en oficial?, - cómo es posible que se condene a alguien por quemar un trozo de tela sin más atributos?.	0
Agassi, que no ha tenido su mejor año deportivo ni en el capítulo personal, estuvo en Houston para participar en varios partidos de exhibición junto a otros famosos del deporte como Clyde Drexler y Charles Barkley, que le permitieron incrementar los fondos de su organización benéfica ' Andre Agassi Charitable Foundation ', dedicada a ayudar a los niños más necesitados.	1
Endesa Telecomunicaciones (ET), que pertenece al grupo español Endesa, ofrece sus servicios de telecomunicaciones en España.	0
Buen año el de 1992 para la Nao de China, o para el Galeón de Manila, o para el Galeón de Acapulco, que tanto monta.	0
Construyó un marco de dignidad en el que reconocerse reconocer se: luchó por otorgar una dimensión humana a unas vidas embrutecidas por la miseria.	1
Mal vamos.	0
Esta respuesta, aludiendo a criterios técnicos para justificar el cambio de postura del de el consorcio, ha enervado a la oposición, y Albert Rivera (C 's) ha indicado que CiU trata de confundir sus intereses partidistas con los de toda Catalunya.	0
La obligación de los responsables públicos es hablar claro y no maquillar la situación, transmitir la realidad es el modo que entendemos, justifica el respeto a los ciudadanos.	1
Los industriales y exportadores han coincidido hoy en que difícilmente se pueda afrontar otra crisis si Argentina entra en recesión.	1
Aquí entran otras razones: por pasar el rato, diría el filósofo de secano; para tranquilzar la conciencia, según el moralista; por patriotismo, acaso apostille algún espíritu trasnochado.	1
Entonces he recurrido al ' Gran larousse ', que dice simplemente que Erskine fue profesor en la Universidad de Columbia (1903 - 1937) y que se hizo famoso por su cinismo fácil y divertido.	0
Sin embargo, para estudios de formación de la construcción, sector donde más oferta de empleo existe, sólo hay 172 alumnos matriculados en la CAV.	0
Yo esperar cuanto haga falta.	0
Roy Trubshaw y Richard Bartle crearon el primer MUD en un PDP - 10.	0
El sucesor del actual presidente de méxico, Ernesto Zedillo, gobernará por un período de seis años, que comenzará contar a partir del 1 de diciembre próximo.	0
Durante la visita, los expertos se entrevistaron con responsables políticos que aseguraron que, tras la publicación de un decreto el pasado año, la imposición de trabajos forzosos u obligatorios ha sido suspendida en la práctica y ninguna queja ha llegado al conocimiento de los órganos de aplicación de la ley.	0
Por algo que no sabía explicar, tenía la convicción de que la maniobra había sido urdida contra ella por Fermina Daza, para no premiar su poema.	1
Quedan, como ven ustedes en el mapa que está en sus pantallas, quedan en fase 1 todas las provincias de la Comunidad Autónoma de Castilla y León, toda la Comunidad Autónoma de Madrid, toda la Comunidad Autónoma de Valencia; en Cataluña, las zonas sanitarias de Girona, Lleida, Catalunya central, Barcelona Ciutat, Metropolitana Nord y Metropolitana Sud; las provincias de Toledo, Ciudad Real y Albacete, y las provincias de Málaga y Granada en la comunidad autónoma de Andalucía.	0
Nuestros ministros de Relaciones Exteriores se reunieron y tuvimos la oportunidad de evaluar diversos temas, conversamos bastante sobre problemas que heredamos del pasado ', apuntó el Jefe de Estado, quien también señaló que en el segundo semestre de este año hará un viaje oficial a Guyana.	1
Aumenta el número de contagios, aumenta también la presión hospitalaria.	1
La semana pasada, el Consejo de Ministros aprobó la adquisición de más de 31 millones de dosis de la vacuna desarrollada por AstraZeneca, la compañía farmacéutica AstraZeneca, contra el Covid-19.	0
Meditó apenas una fracción de segundo.	0
Cada combate está dividido en 3 periodos independientes de 2 minutos cada uno, con un descanso entre ellos de 30 segundos.	0
Tras llegar a la estación, Ethan comienza a tener problemas de su ansiedad a causa de su agorafobia, aunque logra superar la situación y localizar la taquilla, Ethan se marcha a un motel donde abre la caja, ahí hay una pistola, un teléfono móvil y una figura de Origami, además de un mensaje en el telefóno donde pone ' Hasta donde estarías dispuesto por salvar a tu hijo '.	0
Aitor Larrazábal, defensa del Athletic, disputó su partido número 300 en Primera, pero no guardará un buen recuerdo, ya que, además de la derrota de su equipo, fue expulsado por doble amonestación.	1
El consumo de café en Alemania aumentó cerca del 2 por ciento en 1999, según las estadísticas anuales de la empresa Kraft Foods de Bremen.	0
