statement	isMetaphor
' Puedo asegurar que no le vamos a permitir jurar el cargo.	0
En 1945 apareció como bailarina en la película musical The Blonde From Brooklyn.	0
- - Ya sé ya sé.	0
Éste es el enfoque que ha defendido desde un principio mi Gobierno y que hoy es generalmente compartido por los países que componen la misión.	1
José María Vázquez Quintana explicó posteriormente a un grupo de periodistas que la competencia en la telefonía local vía radio que permite dar telefonía fija hasta el domicilio de los clientes con tecnologías móviles, puede incrementarse incrementar se por la llegada de nuevas tecnologías y que probablemente la evolución del UMTS permitirá a los cuatro operadores que tienen estas licencias dar telefonía local vía radio.	1
Especialistas de las Fuerzas Armadas egipcias afirman que hasta finales de 1999 han eliminado más de dos millones de minas.	0
Un bigotudo sin bigote es como un ministro o un futbolista que ha dicho adiós a la cartera o al balón.	0
- - Si me hubiera dejado a mí, jefe, le habría salido todo mucho más barato.	0
En el año 2007 sacan su segundo disco en vivo el cual obtiene mucho éxito, incluso un disco Doble Platino tras vender 2.000.000 copias en Estados Unidos.	0
De la Torre considera que la medalla de oro en Sydney estará situada a 2,38 metros del suelo, ' y Javier está capacitado para saltar esa altura ', dijo.	0
Germán de Granda es un investigador de gran solvencia, el primero entre nosotros en las indagaciones lingüísticas sobre el África negra y sus relaciones e influencia sobre el español.	0
Dichos sistemas otorgan servicio domiciliario a 1 711 tomas domésticas.	0
Budisa, por su parte, ha sido objeto de críticas por acceder en varias ocasiones a ' colaborar ' con Tudjman, echando a perder los esfuerzos opositores para la democratización del país.	0
Dólera calificó de ' brillante, tanto en su aspecto cuantitativo como cualitativo ' el trabajo realizado esta legislatura en el Congreso de los Diputados por Pedro Antonio Ríos, que repite candidatura, y de quién dijo que ' es el diputado por excelencia de la Región de Murcia '.	1
Deducíamos que era la bandera japonesa porque la llevaban los japoneses.	0
Esto va a ser lo que va a pivotar los números para el próximo año, una vez que también conozcamos cuáles son los elementos que tenemos que preservar en nuestro compromiso europeo, en nuestro compromiso con la consolidación fiscal, pero que permita como siempre que nadie se quede atrás en este momento de crisis, que podamos apoyar a nuestro tejido productivo y que podamos seguir ganando en prestaciones, en derechos, como este Gobierno tiene en su hoja de ruta y los partidos que hicieron posible esa investidura así también lo apoyaron y así también lo haremos una realidad, espero que más temprano que tarde.	1
No la vemos en este presupuesto, ¿dónde está la inversión en este presupuesto?	0
La cena del Holiday Inn es casi tan elegante como la del Hilton.	0
La firme intervención del primer ministro, Mugur Isarescu, quien garantizó la solidez de BCR, la estabilidad de las cotizaciones de la moneda nacional, asimismo la convicción de la gente de que fueron víctimas de manipulaciones especulativas, contribuyeron a traer de nuevo la calma.	1
Ha ocupado diversos puestos en la Dirección General del Instituto Nacional de la Seguridad Social, en la que fue adjunta al director general y subdirectora general adjunta de Gestión de Prestaciones.	0
En la reunión de hoy de la comisión, sus miembros examinaron toda la documentación material, técnica y gráfica recogida los últimos días por el buque científico ' Akademik Mstislav Keldish ' en el lugar del accidente.	0
World 's Strictest Parents (En Latinoámerica conocido como: Adolescentes Rebeldes) Es un programa de televisión, estilo reality donde dos adolescentes problemáticos (generalmente un chico y una chica), son enviados a vivir con una familia de reglas estrictas, en un intento de sus padres por cambiar sus vidas.	0
' El encuentro ruso-español a alto nivel servirá para el posterior fortalecimiento de las tradicionales relaciones entre las partes, impulsará de modo práctico la cooperación en diferentes campos y fortalecerá la interrelación de cuestiones actuales europeas e internacionales ', añade el comunicado.	1
