statement	isMetaphor	source	language	row_id
Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	COMETA	DE	COMETA:0
Die Zeitung schreibt heute mal wieder viel Unsinn über die Stars.	0	COMETA	DE	COMETA:1
In einem Kurs verbessert Sina ihre Lateinkenntnisse.	0	COMETA	DE	COMETA:2
Große Reisproduzenten befinden sich hauptsächlich in China.	0	COMETA	DE	COMETA:4
Es gibt starke Argumente für Baumwolle statt Polyester.	1	COMETA	DE	COMETA:5
Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	0	COMETA	DE	COMETA:6
Dieses Kind ist echt anhänglich.	0	COMETA	DE	COMETA:7
In Wien habe ich einen sehr leckeren Kaffee getrunken.	0	COMETA	DE	COMETA:8
Vokabeln verbleiben durch regelmäßiges Üben im Gehirn.	0	COMETA	DE	COMETA:9
Seine Hoffnungen auf Gesundheit hatte der Kranke längst begraben.	1	COMETA	DE	COMETA:10
Die plötzliche Veränderung war sehr unangenehm für Gunda.	0	COMETA	DE	COMETA:11
Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	COMETA	DE	COMETA:14
Jeder Pilot sollte seine Ortskenntnisse immer mal wieder erneuern.	0	COMETA	DE	COMETA:17
Wegen ihres kräftigen Geschmacks werden Oliven von vielen geliebt.	1	COMETA	DE	COMETA:18
Der wunderbare Ton der Querflöte überraschte alle Zuhörer.	0	COMETA	DE	COMETA:19
Der samtweiche Ton der Querflöte überraschte alle Zuhörer.	1	COMETA	DE	COMETA:20
An ihrer heiseren Stimme konnte ich erkennen dass sie erkältet war.	0	COMETA	DE	COMETA:21
Der Gesang des Opernstars ist köstlich.	1	COMETA	DE	COMETA:24
An ihrer kratzigen Stimme konnte ich erkennen dass sie erkältet war.	1	COMETA	DE	COMETA:25
Die kleine Familie wollte ihren Hausbau gründlich planen.	0	COMETA	DE	COMETA:26
Der Sieg des Läufers erzeugte riesige Medienaufmerksamkeit.	0	COMETA	DE	COMETA:27
Dieser junge Mann lässt sich nicht verbiegen.	1	COMETA	DE	COMETA:28
Die Schulreform war noch nicht sicher.	0	COMETA	DE	COMETA:29
Die Unternehmerin stand immer unter Druck.	1	COMETA	DE	COMETA:30
Wenn Daniel einen guten Roman liest verfliegt für ihn die Zeit.	1	COMETA	DE	COMETA:31
Meine Freundin schleimt ständig bei unserer Lehrerin.	1	COMETA	DE	COMETA:32
Während meines Vortrags saß der Professor mit versteinerter Miene da.	1	COMETA	DE	COMETA:33
Der Flugbegleiter heute war wirklich attraktiv!	0	COMETA	DE	COMETA:34
Der Gesang des Opernstars ist wunderschön.	0	COMETA	DE	COMETA:36
Ihre Spanisch-Kenntnisse waren leider eingerostet.	1	COMETA	DE	COMETA:37
Ach was für ein einfaches Leben hatten wir während der Schulferien!	0	COMETA	DE	COMETA:38
Laut und einschneidend schallten die Stimmen der Verkäufer über den Markt.	1	COMETA	DE	COMETA:39
Karina bekam fast jeden Tag eine gesalzene Ohrfeige von ihrer Mutter.	1	COMETA	DE	COMETA:41
Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	0	COMETA	DE	COMETA:42
Die Wirtschaft brummte nach langer Zeit wieder.	1	COMETA	DE	COMETA:43
Der Angeklagte machte immer mehr widersprüchliche Aussagen.	0	COMETA	DE	COMETA:45
Die Worte ihres Freundes trafen die junge Frau sehr.	1	COMETA	DE	COMETA:46
Letzte Nacht hat ein eisiger Wind um die Häuser geblasen.	0	COMETA	DE	COMETA:48
Die Zeitung schreibt heute mal wieder großen Käse über die Stars.	1	COMETA	DE	COMETA:50
Es gibt gute Argumente für Baumwolle statt Polyester.	0	COMETA	DE	COMETA:53
Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	COMETA	DE	COMETA:54
Vokabeln verankern sich durch regelmäßiges Üben im Gehirn.	1	COMETA	DE	COMETA:55
Stefanie war nervös aber die Präsentation war absolut perfekt.	0	COMETA	DE	COMETA:56
Das Gespräch beim Finanzamt verlief glücklicherweise reibungslos.	1	COMETA	DE	COMETA:58
Meine Tante hat ein gutes Herz sie kocht ehrenamtlich für Obdachlose.	0	COMETA	DE	COMETA:59
Der vorbestrafte Mann war diesmal unschuldig.	0	COMETA	DE	COMETA:60
Den Banken muss mit Kapital geholfen werden.	0	COMETA	DE	COMETA:61
In Wien habe ich einen himmlischen Kaffee getrunken.	1	COMETA	DE	COMETA:62
Jeder Pilot sollte seine Ortskenntnisse immer mal wieder auffrischen.	1	COMETA	DE	COMETA:64
Der Sieg des Läufers zog riesige Medienaufmerksamkeit nach sich.	1	COMETA	DE	COMETA:65
Die Beerdigung ihrer Mutter erinnerte sie an alten Kummer.	0	COMETA	DE	COMETA:66
Die berühmte Arie wurde von der Sängerin heute wirklich göttlich interpretiert!	1	COMETA	DE	COMETA:67
Corinna war nervös aber die Präsentation lief absolut glatt.	1	COMETA	DE	COMETA:68
Der Angeklagte verstrickte sich immer mehr in widersprüchliche Aussagen.	1	COMETA	DE	COMETA:69
Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	COMETA	DE	COMETA:70
Nach dem Missverständnis war Laura jetzt in einer haarigen Situation.	1	COMETA	DE	COMETA:72
Der vorbestrafte Mann war diesmal sauber.	1	COMETA	DE	COMETA:73
Seine zerbrechliche Seele konnte den Streit nicht länger aushalten.	1	COMETA	DE	COMETA:74
Meine Freundin macht sich ständig bei unserer Lehrerin beliebt.	0	COMETA	DE	COMETA:75
Während meines Vortrags saß der Professor mit unbewegter Miene da.	0	COMETA	DE	COMETA:76
Ursula wollte alles vergessen und reiste nach Japan.	0	COMETA	DE	COMETA:77
Meine Eltern fühlen sich ihrer Heimat sehr zugehörig.	0	COMETA	DE	COMETA:78
Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	0	COMETA	DE	COMETA:80
Unglaublich stolz erzählte er von seinen Erfolgen.	0	COMETA	DE	COMETA:82
Ach was für ein leichtes Leben hatten wir während der Schulferien!	1	COMETA	DE	COMETA:84
Beate bekam fast jeden Tag eine heftige Ohrfeige von ihrer Mutter.	0	COMETA	DE	COMETA:85
Nach dem Missverständnis war Ella jetzt in einer komplizierten Situation.	0	COMETA	DE	COMETA:86
Martins Versicherung schickte ihm eine saftige Rechnung.	1	COMETA	DE	COMETA:87
Wütend schaltete der Langschläfer den nervigen Wecker aus.	0	COMETA	DE	COMETA:88
Wütend schaltete der Langschläfer den dummen Wecker aus.	1	COMETA	DE	COMETA:89
