statement	isMetaphor
Sie haben eine Affäre. Die Nacht war leidenschaftlich.	0
Er wird morgen aus der Haft entlassen. Er spürt schon die Freiheit.	0
Sie kamen sich langsam näher. Man spürte die Aufregung.	0
Er soll sie in Ruhe lassen. Er ist schmierig.	1
Er findet stets die richtigen Worte. Er ist einfühlsam.	0
Sie haben sich arg gestritten. Jetzt herrscht dicke Luft.	1
Sie bemerkt jede Änderung. Sie ist scharfsinnig.	1
Sie fasste neuen Mut. Sie hatte genug vom Pessimismus.	0
Es war ein dummer Vorwurf. Ihre Antwort war spöttisch.	0
Sie war immer sehr stolz auf ihn. Er war ihr Liebling.	0
Sie sind zerstritten. Er begegnet ihr nur mit Kälte.	1
Sie wurde heute zu früh geweckt. Jetzt ist sie mürrisch.	0
Er legt es oft drauf an. In Clubs fängt er an zu stänkern.	1
Die Wahl war manipuliert. Die Nachricht sorgt für Lärm.	1
Sie war öfters ängstlich. Sie witterte die Gefahr.	1
Er machte einen gemeinen Witz. Das war unangemessen.	0
Das Konzert ist morgen. Sie sind schon ganz aufgeregt.	0
Er freut sich auf das Date. Da kommt seine neue Flamme.	1
Dies ist sein erstes Date seit langem. Er ist nervös.	0
Sie trafen sich nach langer Zeit. Da war noch ein Reiz.	0
Den Vorwurf ließ er sich nicht machen. Er wurde wütend.	0
Er hat kaum Interessen. Sein Wesen ist grau.	1
Sie sind frisch verliebt. Er findet alles besser als es eigentlich ist. 	0
Sie lud sie alle auf ein Eis ein. Das war schön.	0
Sie trafen sich nach langer Zeit. Da war noch ein Funke .	1
Etwas stimmt hier nicht. Die ganze Sache ist verdächtig.	0
Er machte ihr ein Kompliment. Es war zuckersüß.	1
Man kann ihn von nichts abhalten. Er ist eigensinnig.	0
Sie haben das Spiel knapp verloren. Das ist bitter.	1
Sie verpassten knapp das Finale. Jetzt ist sie miesgelaunt.	0
Er ist ein toller Mann. Sie war schon lange verknallt.	1
Sie kümmert sich täglich um kranke Kinder. Sie hat ein Herz aus Gold.	1
Sie holten den ersten Platz. Die Leistung war großartig.	0
Sie fuhr sein Auto zu Schrott. Er sah es und war wütend.	0
Er ist Kommissar. Er ist bekannt für sein Gespür.	0
Nichts scheint ihr etwas auszumachen. Sie ist emotionslos.	0
