statement	isMetaphor	source	language	row_id
Es wurde viel gelacht. Der Abend war köstlich.	1	MIST	DE	MIST:207
Meine Großeltern hatten ein wirklich hartes Leben.	1	COMETA	DE	COMETA:57
Eine Tänzerin verführte den Theaterchef zu einer Affäre.	0	COMETA	DE	COMETA:12
Viele haben Angst vor ihm. Sein Umgang ist unsensibel.	0	MIST	DE	MIST:259
Er ist kein einfacher Mensch. Sein Charakter ist eigenwillig.	0	MIST	DE	MIST:20
Sie trafen sich nach langer Zeit. Da war noch ein Reiz.	0	MIST	DE	MIST:5
Gestern Abend wurde Tamara von einem schmierigen Mann angesprochen.	1	COMETA	DE	COMETA:114
Mit breiter Brust erzählte er von seinen Erfolgen.	1	COMETA	DE	COMETA:71
Er hat kaum Interessen. Sein Wesen ist grau.	1	MIST	DE	MIST:257
Paulas neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	COMETA	DE	COMETA:52
Er macht sie schon lange glücklich. Er ist ihr Liebling.	0	MIST	DE	MIST:226
Nichts scheint ihr etwas auszumachen. Sie ist stumpf.	1	MIST	DE	MIST:332
Das Kind schummelt gern. Spiele enden oft im Stunk.	1	MIST	DE	MIST:159
Das war eine unglaublich gleichgültige Reaktion von ihr.	0	COMETA	DE	COMETA:44
Die Mitarbeiter sind glücklich. Im Büro herrscht gute Atmosphäre.	0	MIST	DE	MIST:182
Sport ist ihm egal. Die WM scheint ihn nicht zu interessieren. 	0	MIST	DE	MIST:96
Die Wirtschaft war nach langer Zeit wieder in gutem Zustand.	0	COMETA	DE	COMETA:16
Das Gespräch am Finanzamt verlief glücklicherweise problemlos.	0	COMETA	DE	COMETA:15
Meine Eltern sind tief in ihrer Heimat verwurzelt.	1	COMETA	DE	COMETA:47
Utes neue Kaffeemaschine hatte eine einfache Bedienung.	0	COMETA	DE	COMETA:111
Die Unternehmerin war immer in Eile.	0	COMETA	DE	COMETA:119
Die Geschichte ist schön. Das Ende ist romantisch.	0	MIST	DE	MIST:138
Neuerdings geht viel schief. Doch er hat immer noch Hoffnung. 	0	MIST	DE	MIST:188
Große Reisproduzenten sitzen hauptsächlich in China.	1	COMETA	DE	COMETA:13
Sie fasste neuen Mut. Sie hatte genug vom Pessimismus.	0	MIST	DE	MIST:167
Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	0	COMETA	DE	COMETA:101
Sie sind zerstritten. Er begegnet ihr nur mit Kälte.	1	MIST	DE	MIST:246
Er braucht Aggressionstraining. Häufig sieht er rot.	1	MIST	DE	MIST:212
Er lächelt fast nie. Dadurch wirkt er meistens unfreundlich.	0	MIST	DE	MIST:239
Er sitzt im Gefängnis. Das Verbrechen war düster.	1	MIST	DE	MIST:323
Niemand ist bei ihr willkommen. Auf andere wirkt sie lieblos.	0	MIST	DE	MIST:94
Die Gespräche über seine Kindheit waren schmerzhaft für ihn.	1	COMETA	DE	COMETA:112
Er schaut gern Horrorfilme. Ihm gefällt der Nervenkitzel.	1	MIST	DE	MIST:109
Sie bemerkt jede Änderung. Sie ist scharfsinnig.	1	MIST	DE	MIST:181
Sie hat ihn verlassen. Jetzt ist er völlig freudlos.	0	MIST	DE	MIST:22
