statement	isMetaphor
Seine zerbrechliche Seele konnte den Streit nicht länger aushalten.	1
Der Gesang des Opernstars ist köstlich.	1
In Wien habe ich einen sehr leckeren Kaffee getrunken.	0
Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	0
Der Sieg des Läufers erzeugte riesige Medienaufmerksamkeit.	0
Martins Versicherung schickte ihm eine saftige Rechnung.	1
Torsten hörte ständig er sei nicht besonders intelligent.	0
Große Reisproduzenten befinden sich hauptsächlich in China.	0
Der vorbestrafte Mann war diesmal sauber.	1
Das war eine unglaublich oberflächliche Reaktion von ihr.	1
Die Banken müssen mit Kapital aufgepäppelt werden.	1
Die Beerdigung ihrer Mutter erinnerte sie an alten Kummer.	0
Das Thema des Matheunterrichts ist schwierig.	0
Laut und einschneidend schallten die Stimmen der Verkäufer über den Markt.	1
Ach was für ein leichtes Leben hatten wir während der Schulferien!	1
Die Gespräche über seine Kindheit waren schmerzhaft für ihn.	1
Endlich war Waffenstillstand zwischen den Streitenden.	1
Der Flugbegleiter heute war wirklich attraktiv!	0
In Wien habe ich einen himmlischen Kaffee getrunken.	1
Meine Tante hat ein gutes Herz sie kocht ehrenamtlich für Obdachlose.	0
Der Angeklagte verstrickte sich immer mehr in widersprüchliche Aussagen.	1
Der Flugbegleiter heute war wirklich zum Anbeißen!	1
Die Wirtschaft war nach langer Zeit wieder in gutem Zustand.	0
Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1
Das Gespräch beim Finanzamt verlief glücklicherweise reibungslos.	1
Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1
Die Zeitung schreibt heute mal wieder viel Unsinn über die Stars.	0
Seine Hoffnungen auf Gesundheit hatte der Kranke längst begraben.	1
Meine Freundin macht sich ständig bei unserer Lehrerin beliebt.	0
Große Reisproduzenten sitzen hauptsächlich in China.	1
Die plötzliche Veränderung war eine kalte Dusche für Anna.	1
Die Worte ihres Freundes trafen die junge Frau sehr.	1
Die Schulreform stand noch auf wackligen Beinen.	1
Corinna war nervös aber die Präsentation lief absolut glatt.	1
Der Angeklagte machte immer mehr widersprüchliche Aussagen.	0
Die Worte ihres Freundes waren sehr schlimm für die junge Frau.	0
Der Stoff des Matheunterrichts ist schwierig.	1
Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1
Der samtweiche Ton der Querflöte überraschte alle Zuhörer.	1
Die Beerdigung ihrer Mutter riss alte Wunden wieder auf.	1
Wegen ihres intensiven Geschmacks werden Oliven von vielen geliebt.	0
Es gibt gute Argumente für Baumwolle statt Polyester.	0
Während meines Vortrags saß der Professor mit unbewegter Miene da.	0
Nach dem Missverständnis war Ella jetzt in einer komplizierten Situation.	0
Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	0
Wenn Maik einen guten Roman liest vergeht die Zeit für ihn schnell.	0
Der vorbestrafte Mann war diesmal unschuldig.	0
Der wunderbare Ton der Querflöte überraschte alle Zuhörer.	0
Jeder Pilot sollte seine Ortskenntnisse immer mal wieder auffrischen.	1
Es gibt starke Argumente für Baumwolle statt Polyester.	1
Die Unternehmerin stand immer unter Druck.	1
Die Schulreform war noch nicht sicher.	0
Meine Großeltern hatten ein wirklich schwieriges Leben.	0
Meine Eltern sind tief in ihrer Heimat verwurzelt.	1
Gestern Abend wurde Tamara von einem schmierigen Mann angesprochen.	1
Die berühmte Arie wurde von der Sängerin heute wirklich wundervoll interpretiert!	0
Dieser junge Mann lässt sich nicht verbiegen.	1
Vokabeln verankern sich durch regelmäßiges Üben im Gehirn.	1
Ursula wollte alles vergessen und reiste nach Japan.	0
Seine empfindliche Seele konnte den Streit nicht länger aushalten.	0
Meine Eltern fühlen sich ihrer Heimat sehr zugehörig.	0
Die plötzliche Veränderung war sehr unangenehm für Gunda.	0
Jeder Pilot sollte seine Ortskenntnisse immer mal wieder erneuern.	0
Wütend schaltete der Langschläfer den dummen Wecker aus.	1
Letzte Nacht hat ein eisiger Wind um die Häuser geblasen.	0
Die kleine Familie wollte ihren Hausbau gründlich planen.	0
Das war eine unglaublich gleichgültige Reaktion von ihr.	0
Utes neue Kaffeemaschine hatte eine einfache Bedienung.	0
Meine Großeltern hatten ein wirklich hartes Leben.	1
Gerds Versicherung schickte ihm eine hohe Rechnung.	0
Die Zeitung schreibt heute mal wieder großen Käse über die Stars.	1
Den Banken muss mit Kapital geholfen werden.	0
Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1
Ach was für ein einfaches Leben hatten wir während der Schulferien!	0
Gestern Abend wurde Renate von einem widerlichen Mann angesprochen.	0
Meine Tante hat ein weiches Herz sie kocht ehrenamtlich für Obdachlose.	1
Nach dem Missverständnis war Laura jetzt in einer haarigen Situation.	1
Karsten hörte ständig er habe nichts in der Birne.	1
Die Unternehmerin war immer in Eile.	0
Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	0
Seine Hoffnungen auf Gesundheit hatte der Kranke längst aufgegeben.	0
Eine Tänzerin verwickelte den Theaterchef in eine Affäre.	1
Die Gespräche über seine Kindheit waren schlimm für ihn.	0
Das war heute eine bittere Enttäuschung für meinen Vater.	1
Das war heute eine große Enttäuschung für meinen Vater.	0
Dieser junge Mann lässt sich nicht beeinflussen.	0
An ihrer kratzigen Stimme konnte ich erkennen dass sie erkältet war.	1
Letzte Nacht hat ein scharfer Wind um die Häuser geblasen.	1
An ihrer heiseren Stimme konnte ich erkennen dass sie erkältet war.	0
Stefanie war nervös aber die Präsentation war absolut perfekt.	0
Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	0
Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1
Wegen ihres kräftigen Geschmacks werden Oliven von vielen geliebt.	1
Ihre Spanisch-Kenntnisse waren leider nicht mehr aktuell.	0
Der Sieg des Läufers zog riesige Medienaufmerksamkeit nach sich.	1
Kerstin wollte alles hinter sich lassen und reiste nach Japan.	1
Eine Tänzerin verführte den Theaterchef zu einer Affäre.	0
Meine Freundin schleimt ständig bei unserer Lehrerin.	1
In einem Kurs verbessert Sina ihre Lateinkenntnisse.	0
Beate bekam fast jeden Tag eine heftige Ohrfeige von ihrer Mutter.	0
Endlich war Ruhe zwischen den Streitenden.	0
Unglaublich stolz erzählte er von seinen Erfolgen.	0
Laut und unangenehm schallten die Stimmen der Verkäufer über den Markt.	0
Das Gespräch am Finanzamt verlief glücklicherweise problemlos.	0
Die Wirtschaft brummte nach langer Zeit wieder.	1
Mit breiter Brust erzählte er von seinen Erfolgen.	1
Karina bekam fast jeden Tag eine gesalzene Ohrfeige von ihrer Mutter.	1
Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	0
Paulas neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1
Vokabeln verbleiben durch regelmäßiges Üben im Gehirn.	0
Der Gesang des Opernstars ist wunderschön.	0
Wütend schaltete der Langschläfer den nervigen Wecker aus.	0
Während meines Vortrags saß der Professor mit versteinerter Miene da.	1
Ihre Spanisch-Kenntnisse waren leider eingerostet.	1
Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1
Dieses Kind ist echt anhänglich.	0
Dieses Kind ist echt eine Klette.	1
In einem Kurs vertieft Nadine ihre Lateinkenntnisse.	1
Die berühmte Arie wurde von der Sängerin heute wirklich göttlich interpretiert!	1
Wenn Daniel einen guten Roman liest verfliegt für ihn die Zeit.	1
